Job Title,Salary Range in Thousand Dollars,Rating,Company Name,Location.1,Location.2,Size,Type of Ownership,Industry,Sector
"Data Analyst, Center On Immigration And Justice (Cij)",51-70,3.2,Vera Institute of Justice,New York,NY,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
Quality Data Analyst,51-70,3.8,Visiting Nurse Service of New York,New York,NY,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",51-70,3.4,Squarespace,New York,NY,1001 to 5000 employees,Private,Internet,Information Technology
Data Analyst,51-70,4.1,Celerity,New York,NY,201 to 500 employees,Subsidiary or Business Segment,IT Services,Information Technology
Reporting Data Analyst,51-70,3.9,FanDuel,New York,NY,501 to 1000 employees,Private,Sports & Recreation,"Arts, Entertainment & Recreation"
Data Analyst,51-70,3.9,Point,New York,NY,1001 to 5000 employees,Private,Investment Banking & Asset Management,Finance
Business/Data Analyst (Fp&A),51-70,4.4,Two Sigma,New York,NY,1001 to 5000 employees,Private,Investment Banking & Asset Management,Finance
Data Science Analyst,51-70,3.7,GNY Insurance Companies,New York,NY,201 to 500 employees,Private,Insurance Carriers,Insurance
Data Analyst,51-70,4,DMGT,New York,NY,5001 to 10000 employees,Public,Venture Capital & Private Equity,Finance
"Data Analyst, Merchant Health",51-70,4.4,Riskified,New York,NY,501 to 1000 employees,Private,Research & Development,Business Services
Data Analyst,51-70,4,NYU Langone Health,New York,NY,10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Data Analyst,51-70,,BulbHead,Fairfield,NJ,1 to 50 employees,Private,Unknown,Unknown
Data Analyst,51-70,3.7,Montefiore Medical,New York,NY,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Senior Data Analyst,51-70,3,Known,New York,NY,201 to 500 employees,Private,Advertising & Marketing,Business Services
Investment Advisory Data Analyst,51-70,3.4,Advisor Group,Jersey City,NJ,1001 to 5000 employees,Private,Brokerage Services,Finance
Sustainability Data Analyst,51-70,3.6,CodeGreen Solutions,New York,NY,1 to 50 employees,Private,Building & Personnel Services,Business Services
